aX,aY,aZ,gX,gY,gZ
0.857,1.691,0.156,-94.069,48.079,73.877
1.539,1.884,-0.829,-61.291,-153.280,45.480
1.618,2.000,0.229,49.259,-191.540,103.266
2.000,2.000,-0.737,72.007,-32.150,399.556
1.547,2.000,-0.864,64.328,123.438,501.602
-0.342,2.000,-0.907,-75.291,322.674,501.602
-2.000,0.667,-0.752,-101.703,251.712,432.747
-1.978,-0.735,-0.640,29.335,66.399,311.419
-1.087,-0.791,0.423,3.091,38.537,163.144
-0.593,-1.564,0.488,264.648,-109.402,52.335
-0.185,-1.219,0.479,22.526,49.514,39.434
-0.302,-1.034,0.226,-5.031,-25.860,13.113
-1.376,-1.419,0.503,-27.214,-70.791,-45.116
-1.341,-0.547,0.313,-57.337,-149.738,-239.345
-1.224,-0.142,0.000,45.579,-199.692,-291.131
-1.236,0.081,-0.249,12.480,-277.188,-335.375
1.155,1.835,-1.320,12.068,-267.356,-329.009
2.000,2.000,-0.485,-302.314,-63.280,-498.933
1.423,1.749,0.756,-449.367,113.270,239.052
2.000,0.575,0.015,230.969,-13.799,-284.047
2.000,0.583,-0.223,49.503,37.285,51.296
0.438,0.781,2.000,179.045,-218.425,123.770
0.579,0.293,-0.225,134.434,-41.020,-83.543
0.817,0.470,-0.279,-15.795,32.980,-29.589
1.145,0.367,-0.196,26.175,54.781,-23.604
1.074,0.346,-0.119,-1.962,6.644,5.663
0.907,0.338,-0.034,-5.321,4.720,-3.818
0.909,0.429,-0.066,-0.115,8.689,-9.833
0.993,0.450,-0.108,-4.161,-2.288,-11.940
0.958,0.341,-0.163,-2.451,5.865,-0.322

-0.115,1.584,-0.319,-90.817,-74.089,-374.948
0.110,1.632,-0.477,-110.650,-75.585,-270.001
1.659,1.948,-0.729,-100.451,-90.486,-316.688
0.687,2.000,0.217,171.366,-48.807,75.861
0.577,2.000,-0.527,-51.825,65.667,306.151
0.194,2.000,-0.254,-74.329,120.506,501.602
-0.315,2.000,-0.619,-101.199,230.293,501.602
-1.007,0.931,-0.319,-193.520,241.346,501.602
-0.820,0.601,-0.345,-49.688,54.415,501.602
-1.199,-0.270,-0.831,-157.489,169.346,383.434
-1.476,-0.813,-0.155,-64.207,22.644,295.907
-2.000,-2.000,-0.517,-25.306,-26.822,146.319
-2.000,-1.351,-0.132,-6.359,-50.364,-208.017
-1.157,-0.157,-0.165,84.343,-159.219,-232.704
-0.904,0.198,-0.443,104.099,-187.555,-181.879
-0.524,0.246,-0.450,-52.497,-313.891,-403.971
1.420,0.766,-0.697,27.976,-198.456,-367.253
2.000,2.000,-0.740,-163.871,-227.646,-420.139
2.000,0.774,-0.328,3.091,72.964,-107.085
1.257,0.240,-0.092,-13.581,6.399,-12.078
1.214,-0.026,-0.030,33.549,-11.478,-29.070
1.183,0.130,-0.246,0.190,-14.837,-1.253
1.134,0.071,-0.232,-15.474,-5.311,-14.658
1.127,0.008,-0.301,-8.482,-6.150,5.220
1.029,0.072,-0.222,-2.650,-3.082,-9.757
0.989,0.091,-0.207,-6.024,6.552,-8.337
0.968,0.141,-0.157,3.931,1.514,-11.864
1.056,0.146,-0.163,2.892,-0.089,-6.795
1.067,0.153,-0.163,0.083,4.338,-4.978
1.030,0.149,-0.156,0.251,-3.097,-0.566

0.573,1.693,-0.417,0.679,-48.501,-354.612
0.787,1.195,-0.379,-13.138,-67.234,-369.849
0.911,1.561,-0.206,-83.108,-14.471,-331.131
0.743,2.000,0.038,-81.642,-42.349,-91.436
0.657,2.000,-0.237,56.297,20.522,246.930
0.522,2.000,-0.291,-95.749,150.796,479.205
-0.129,1.806,-0.103,-100.619,230.842,501.602
-0.168,1.113,-0.060,-132.329,169.682,501.602
-0.333,0.293,-0.227,-146.298,168.064,501.602
-0.615,0.350,-0.484,-178.695,161.178,360.167
-1.882,-0.734,-0.839,-206.436,143.544,266.335
-2.000,-2.000,-1.455,113.289,-135.005,129.037
-1.885,-0.438,-0.648,104.587,-186.303,-327.009
-1.234,0.666,-0.458,124.557,-240.166,-361.910
-0.752,0.829,0.263,-50.176,-389.555,-467.345
1.913,1.416,-1.503,-127.291,-176.471,-454.169
2.000,2.000,-1.234,-168.421,-385.356,-482.597
2.000,0.844,-0.660,-77.932,154.567,-160.658
1.594,0.454,-0.597,6.221,68.231,-14.215
1.228,0.117,0.008,25.427,13.804,2.136
1.313,0.363,-0.252,-13.031,-19.967,0.274
1.040,0.239,-0.321,26.511,18.109,22.793
0.887,0.235,-0.200,14.251,24.980,-44.062
0.861,0.289,-0.162,-3.428,1.911,-26.765
0.983,0.264,-0.293,10.129,10.170,-5.894
1.069,0.281,-0.217,1.076,7.728,-13.330
1.008,0.278,-0.186,3.228,13.010,-13.803
0.983,0.360,-0.173,-2.879,8.399,-7.650
0.976,0.364,-0.192,-2.298,8.369,-5.299
0.979,0.304,-0.211,2.969,8.369,-11.146

1.621,0.781,-0.411,-2.176,-19.601,-102.933
1.254,1.045,-0.271,-7.917,-15.967,-92.429
1.215,0.931,-0.180,-36.924,7.071,-44.200
1.133,0.795,-0.259,-30.909,43.834,0.793
0.989,1.012,-0.034,10.984,15.147,88.732
1.199,0.999,-0.187,0.663,36.216,149.022
1.081,1.028,-0.139,1.549,79.407,253.571
1.317,0.977,-0.151,45.763,72.567,279.449
0.986,0.820,-0.152,2.755,158.262,336.396
0.406,0.443,0.020,-47.443,177.926,375.816
-0.340,-0.161,0.010,-86.787,202.934,368.961
-0.517,-0.389,-0.002,-83.550,150.018,297.602
-0.753,-0.958,0.073,-44.008,83.941,214.014
-0.731,-0.960,-0.077,-42.558,49.651,137.281
-1.010,-1.319,0.042,22.923,20.934,69.953
-1.032,-1.196,0.019,32.526,-83.173,-51.024
-0.729,-0.881,0.042,34.404,-124.120,-127.055
-0.567,-0.600,0.152,1.259,-135.616,-200.123
-0.332,-0.335,-0.036,8.175,-192.486,-257.986
-0.087,-0.220,0.115,3.549,-207.494,-262.963
0.704,0.017,-0.232,-36.085,-174.685,-343.543
