aX,aY,aZ,gX,gY,gZ
0.017,-1.430,-0.000,126.771,463.763,-37.985
-0.984,-0.356,1.271,131.870,404.786,-85.756
-0.238,-0.974,0.442,110.069,419.534,-145.755
-0.571,-0.718,0.218,203.473,361.274,11.649
-1.030,-0.284,0.166,258.267,305.045,-55.297
-0.505,0.277,-0.130,160.344,290.420,-82.672
-0.624,0.435,-1.113,125.794,217.687,-52.656
-0.956,1.259,-1.386,164.191,213.107,-86.290
-1.947,1.900,-0.016,27.992,-27.809,110.687
-1.685,1.918,-0.688,-255.717,-276.802,197.710
-2.000,2.000,-1.438,-464.572,-499.687,140.519
-1.053,1.193,-1.871,-497.275,-499.687,133.267
-0.418,0.673,-1.383,-497.275,-444.023,140.886
-0.092,-0.641,-0.929,-395.183,-342.069,59.084
-0.331,-1.430,-1.203,-333.702,-407.245,65.741
0.231,-2.000,-1.229,-276.664,-27.092,-142.931
0.257,-2.000,-0.984,-79.702,77.549,79.405
-0.949,-0.523,0.336,203.519,-248.069,28.351
1.471,-0.572,-0.574,58.542,-221.962,-87.878
0.705,-0.541,0.289,9.260,20.084,-29.740
0.437,-1.025,0.141,-39.962,0.694,-50.488
0.724,-0.990,0.089,28.160,-44.771,-2.946
0.611,-0.690,0.183,-9.183,6.847,-15.511
0.659,-0.891,-0.029,-22.008,39.977,-15.526
0.482,-0.896,0.008,7.305,30.175,-8.733
0.511,-0.839,0.067,6.802,-15.871,-4.565
0.577,-0.867,0.055,9.000,-13.962,-1.969
0.567,-0.804,0.078,9.473,-21.504,-7.847
0.645,-0.820,0.052,2.221,-16.390,-3.114
0.617,-0.826,0.063,8.237,0.496,3.328

-0.643,0.521,-1.511,133.825,361.488,-113.343
-0.496,0.615,-1.704,121.366,383.183,-101.679
-0.647,1.396,-2.000,107.107,396.816,-110.336
-2.000,1.487,0.100,93.031,68.618,120.855
-0.964,1.580,-0.204,-152.298,-251.672,95.069
-1.747,0.771,-1.312,-152.649,-231.061,89.924
-1.497,1.191,-0.903,-273.321,-423.290,17.115
-1.604,0.729,-0.830,-333.809,-499.687,202.474
-0.647,0.326,-1.308,-373.534,-499.687,177.038
0.469,0.143,-0.660,-333.397,-499.687,61.512
0.439,-0.477,-0.938,-352.099,-408.710,-23.435
1.496,-1.668,-0.683,-237.046,-109.413,-80.030
1.716,-2.000,-0.325,45.901,-42.298,-43.114
0.393,-0.896,0.251,75.825,-90.985,-5.786
0.877,-0.845,0.165,23.092,-22.496,-30.809
0.937,-0.429,0.035,0.893,-62.939,-14.885
0.889,-0.532,-0.063,-29.885,3.885,6.351
0.834,-0.447,-0.018,14.267,-22.649,-29.038
1.044,-0.315,0.012,-1.565,-8.084,-9.389
0.883,-0.500,-0.003,-5.336,6.557,-7.725
0.967,-0.492,0.036,16.573,-10.893,-7.099
0.974,-0.469,0.024,2.863,3.351,2.596
0.906,-0.509,0.002,7.794,-4.542,0.245
0.923,-0.451,0.031,12.741,-10.985,-5.343
0.965,-0.447,0.030,-0.023,2.481,-0.901
0.896,-0.486,0.007,9.611,-7.489,-0.839
0.943,-0.436,0.032,4.725,-5.367,-6.595
0.894,-0.421,0.079,4.588,-3.901,-4.733
0.999,-0.482,-0.008,4.725,7.916,11.573
0.832,-0.496,0.032,-4.313,1.045,-8.488

0.656,-0.521,0.313,112.008,500.847,86.687
-0.328,-0.572,0.805,96.145,500.847,43.222
0.112,-0.786,-1.164,140.832,500.847,-3.053
-0.652,-0.984,0.385,206.191,500.847,-80.977
-0.674,-0.934,0.252,215.443,434.618,49.161
-1.107,-0.603,0.003,229.840,367.244,12.275
-0.911,-0.341,-0.174,216.634,322.023,-36.000
-0.396,0.032,-0.590,54.725,289.900,-62.687
-0.018,0.594,-1.415,3.672,299.076,26.229
-0.840,1.742,-1.817,56.283,270.572,2.855
-1.920,1.506,-0.125,98.374,-70.496,74.977
-0.966,1.514,-0.808,-103.580,-44.435,36.947
-2.000,1.486,-1.297,-225.000,-328.634,65.023
-0.501,0.841,-1.902,-227.687,-347.489,-233.939
-1.027,0.979,-0.754,-242.618,-499.687,-73.847
-0.721,-0.011,-1.097,-345.473,-499.687,-55.236
0.905,-0.003,0.204,-238.023,-10.008,-152.443
-0.362,-0.541,-0.196,-221.351,-337.535,-4.412
0.442,-1.196,-0.145,-150.679,-212.710,-42.122
-1.059,-2.000,-1.635,-386.023,-246.100,13.161
0.486,-1.878,-0.711,265.458,209.687,-68.549
-0.222,0.528,1.579,139.626,165.366,-27.923
-0.240,-0.156,1.127,17.336,9.702,90.015
-0.193,-0.611,0.658,-6.328,18.160,49.191
-0.349,-0.932,0.344,-56.924,-33.657,-1.328
-0.028,-0.882,0.339,17.794,17.839,8.550
-0.205,-0.733,0.563,3.046,7.504,-12.259
-0.091,-0.720,0.559,7.947,4.939,-7.878
-0.103,-0.705,0.599,6.145,1.702,-5.679
-0.117,-0.737,0.576,1.183,-6.206,5.206

-0.237,0.430,-2.000,136.176,274.511,-72.305
-0.270,0.603,-2.000,132.344,271.427,-78.824
-0.788,1.312,-2.000,109.275,271.671,-81.572
-1.733,1.483,-0.576,59.794,-43.321,77.054
-0.702,1.758,-0.757,-102.893,-19.290,74.641
-1.402,0.964,-1.653,-122.298,-157.184,77.420
-0.993,1.072,-1.809,-164.634,-131.535,-146.046
-1.140,1.602,-1.206,-275.427,-352.374,11.664
-1.208,0.761,-1.334,-334.939,-401.825,-80.748
0.007,0.203,-0.639,-211.107,-315.962,-127.817
0.428,-0.580,-0.200,-85.107,-97.565,-145.893
-0.298,-1.169,0.513,-18.603,-156.115,-140.748
-0.587,-2.000,-1.236,-352.298,-407.489,146.061
0.713,-0.246,0.282,282.741,196.603,-121.374
-1.558,1.001,1.322,71.290,149.534,-7.328
-0.651,0.136,0.817,-37.687,-14.222,33.130
-0.427,-0.490,0.545,-40.954,-52.283,2.611
-0.273,-0.607,0.479,-20.069,-11.474,16.138
-0.497,-0.416,0.567,21.229,39.549,-11.130
-0.669,-0.230,0.646,5.412,9.900,1.786
-0.645,-0.234,0.710,1.458,-5.382,-11.923
